cultivo,anio,campania,provincia,provincia_id,departamento,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
maíz,1969,1969/1970,Chaco,22.0,San Lorenzo,22147.0,300,250,150,600
maíz,1969,1969/1970,Santa Fe,82.0,Caseros,82014.0,140000,134800,432500,3208
maíz,1969,1969/1970,Santa Fe,82.0,Villa Constitución,82028.0,106000,105200,375000,3565
maíz,1969,1969/1970,Santa Fe,82.0,Rosario,82084.0,41000,40500,145000,3580
maíz,1969,1969/1970,Santa Fe,82.0,San Lorenzo,82119.0,53000,51000,183000,3588
maíz,1970,1970/1971,Chaco,22.0,San Lorenzo,22147.0,300,150,90,600
maíz,1970,1970/1971,Santa Fe,82.0,Caseros,82014.0,136000,130000,477000,3669
maíz,1970,1970/1971,Santa Fe,82.0,Rosario,82084.0,47000,44000,158000,3591
maíz,1970,1970/1971,Santa Fe,82.0,Villa Constitución,82028.0,120000,117000,428000,3658
maíz,1970,1970/1971,Santa Fe,82.0,San Lorenzo,82119.0,60000,58000,198000,3414
maíz,1971,1971/1972,Santa Fe,82.0,San Lorenzo,82119.0,63000,60000,140000,2333
maíz,1971,1971/1972,Chaco,22.0,San Lorenzo,22147.0,200,200,100,500
maíz,1971,1971/1972,Santa Fe,82.0,Caseros,82014.0,155000,152000,349600,2300
maíz,1971,1971/1972,Santa Fe,82.0,Rosario,82084.0,49000,48000,118400,2467
maíz,1971,1971/1972,Santa Fe,82.0,Villa Constitución,82028.0,125000,122000,285000,2336
maíz,1972,1972/1973,Chaco,22.0,San Lorenzo,22147.0,200,200,120,600
maíz,1972,1972/1973,Santa Fe,82.0,San Lorenzo,82119.0,53000,51700,190000,3675
maíz,1972,1972/1973,Santa Fe,82.0,Caseros,82014.0,145000,143000,530000,3706
maíz,1972,1972/1973,Santa Fe,82.0,Villa Constitución,82028.0,108000,106000,410000,3868
maíz,1972,1972/1973,Santa Fe,82.0,Rosario,82084.0,37000,35200,128250,3643
maíz,1973,1973/1974,Chaco,22.0,San Lorenzo,22147.0,100,100,110,1100
maíz,1973,1973/1974,Santa Fe,82.0,Villa Constitución,82028.0,104000,102500,402000,3922
maíz,1973,1973/1974,Santa Fe,82.0,Caseros,82014.0,120000,118000,436500,3699
maíz,1973,1973/1974,Santa Fe,82.0,Rosario,82084.0,35500,33200,109000,3283
maíz,1973,1973/1974,Santa Fe,82.0,San Lorenzo,82119.0,51000,49500,162000,3273
maíz,1974,1974/1975,Chaco,22.0,San Lorenzo,22147.0,100,100,70,700
maíz,1974,1974/1975,Santa Fe,82.0,Caseros,82014.0,122000,119000,375000,3151
maíz,1974,1974/1975,Santa Fe,82.0,Villa Constitución,82028.0,107000,105000,346500,3300
maíz,1974,1974/1975,Santa Fe,82.0,Rosario,82084.0,36500,35400,93850,2651
maíz,1974,1974/1975,Santa Fe,82.0,San Lorenzo,82119.0,52000,51000,132600,2600
maíz,1975,1975/1976,Santa Fe,82.0,Villa Constitución,82028.0,114000,108000,180660,1673
maíz,1975,1975/1976,Santa Fe,82.0,Caseros,82014.0,129000,122000,256000,2098
maíz,1975,1975/1976,Santa Fe,82.0,Rosario,82084.0,38300,34000,49260,1449
maíz,1975,1975/1976,Santa Fe,82.0,San Lorenzo,82119.0,55000,50000,75000,1500
maíz,1976,1976/1977,Santa Fe,82.0,Caseros,82014.0,75000,69000,332000,4812
maíz,1976,1976/1977,Santa Fe,82.0,Villa Constitución,82028.0,55000,54500,247250,4537
maíz,1976,1976/1977,Santa Fe,82.0,Rosario,82084.0,12800,12200,54900,4500
maíz,1976,1976/1977,Santa Fe,82.0,San Lorenzo,82119.0,24000,22300,100900,4525
maíz,1977,1977/1978,Santa Fe,82.0,Caseros,82014.0,73000,69000,365700,5300
maíz,1977,1977/1978,Santa Fe,82.0,Villa Constitución,82028.0,48000,47000,253160,5386
maíz,1977,1977/1978,Santa Fe,82.0,Rosario,82084.0,10500,9700,50260,5181
maíz,1977,1977/1978,Santa Fe,82.0,San Lorenzo,82119.0,21000,20200,107060,5300
maíz,1977,1977/1978,Chaco,22.0,San Lorenzo,22147.0,450,450,400,889
maíz,1978,1978/1979,Santa Fe,82.0,Villa Constitución,82028.0,43500,42000,189000,4500
maíz,1978,1978/1979,Santa Fe,82.0,Rosario,82084.0,11000,10000,40000,4000
maíz,1978,1978/1979,Santa Fe,82.0,Caseros,82014.0,87000,83000,373000,4494
maíz,1978,1978/1979,Santa Fe,82.0,San Lorenzo,82119.0,22000,21000,88070,4194
maíz,1978,1978/1979,Chaco,22.0,San Lorenzo,22147.0,900,900,1200,1333
maíz,1979,1979/1980,Chaco,22.0,San Lorenzo,22147.0,800,800,1400,1750
maíz,1979,1979/1980,Santa Fe,82.0,Villa Constitución,82028.0,35000,34000,129200,3800
maíz,1979,1979/1980,Santa Fe,82.0,Caseros,82014.0,75000,73500,271950,3700
maíz,1979,1979/1980,Santa Fe,82.0,Rosario,82084.0,7500,7200,27360,3800
maíz,1979,1979/1980,Santa Fe,82.0,San Lorenzo,82119.0,18000,17200,63640,3700
maíz,1980,1980/1981,Chaco,22.0,San Lorenzo,22147.0,600,500,550,1100
maíz,1980,1980/1981,Santa Fe,82.0,Rosario,82084.0,15000,14000,71320,5094
maíz,1980,1980/1981,Santa Fe,82.0,Villa Constitución,82028.0,50500,49500,267300,5400
maíz,1980,1980/1981,Santa Fe,82.0,San Lorenzo,82119.0,25000,24000,127965,5332
maíz,1980,1980/1981,Santa Fe,82.0,Caseros,82014.0,80000,79300,436150,5500
maíz,1981,1981/1982,Chaco,22.0,San Lorenzo,22147.0,2500,2500,5500,2200
maíz,1981,1981/1982,Santa Fe,82.0,Caseros,82014.0,75000,74200,319060,4300
maíz,1981,1981/1982,Santa Fe,82.0,Villa Constitución,82028.0,55000,54000,223480,4139
maíz,1981,1981/1982,Santa Fe,82.0,Rosario,82084.0,11100,10075,40300,4000
maíz,1981,1981/1982,Santa Fe,82.0,San Lorenzo,82119.0,22000,21000,91835,4373
maíz,1982,1982/1983,Santa Fe,82.0,Villa Constitución,82028.0,50000,47000,150200,3196
maíz,1982,1982/1983,Santa Fe,82.0,Caseros,82014.0,85000,78800,256000,3249
maíz,1982,1982/1983,Santa Fe,82.0,Rosario,82084.0,9500,6000,12600,2100
maíz,1982,1982/1983,Santa Fe,82.0,San Lorenzo,82119.0,20000,15500,29930,1931
maíz,1982,1982/1983,Chaco,22.0,San Lorenzo,22147.0,500,500,700,1400
maíz,1983,1983/1984,Chaco,22.0,San Lorenzo,22147.0,400,400,576,1440
maíz,1983,1983/1984,Santa Fe,82.0,Caseros,82014.0,72000,70000,210000,3000
maíz,1983,1983/1984,Santa Fe,82.0,Rosario,82084.0,7000,6200,17360,2800
maíz,1983,1983/1984,Santa Fe,82.0,Villa Constitución,82028.0,43000,42500,136000,3200
maíz,1983,1983/1984,Santa Fe,82.0,San Lorenzo,82119.0,16500,15700,48690,3101
maíz,1984,1984/1985,Chaco,22.0,San Lorenzo,22147.0,500,450,760,1689
maíz,1984,1984/1985,Santa Fe,82.0,Villa Constitución,82028.0,38000,38000,140000,3684
maíz,1984,1984/1985,Santa Fe,82.0,Caseros,82014.0,70000,70000,315000,4500
maíz,1984,1984/1985,Santa Fe,82.0,Rosario,82084.0,6000,6000,19200,3200
maíz,1984,1984/1985,Santa Fe,82.0,San Lorenzo,82119.0,15000,15000,52500,3500
maíz,1985,1985/1986,Santa Fe,82.0,Rosario,82084.0,7000,7000,33800,4829
maíz,1985,1985/1986,Chaco,22.0,San Lorenzo,22147.0,350,350,390,1114
maíz,1985,1985/1986,Santa Fe,82.0,Caseros,82014.0,75000,75000,359000,4787
maíz,1985,1985/1986,Santa Fe,82.0,San Lorenzo,82119.0,17000,17000,83300,4900
maíz,1985,1985/1986,Santa Fe,82.0,Villa Constitución,82028.0,43000,43000,207200,4819
maíz,1986,1986/1987,Chaco,22.0,San Lorenzo,22147.0,400,400,600,1500
maíz,1986,1986/1987,Santa Fe,82.0,Caseros,82014.0,78000,77200,293360,3800
maíz,1986,1986/1987,Santa Fe,82.0,Villa Constitución,82028.0,45500,44800,170240,3800
maíz,1986,1986/1987,Santa Fe,82.0,Rosario,82084.0,7500,7000,25900,3700
maíz,1986,1986/1987,Santa Fe,82.0,San Lorenzo,82119.0,18000,17500,64690,3697
maíz,1987,1987/1988,Santa Fe,82.0,Rosario,82084.0,4000,4000,18000,4500
maíz,1987,1987/1988,Santa Fe,82.0,San Lorenzo,82119.0,12000,12000,51600,4300
maíz,1987,1987/1988,Chaco,22.0,San Lorenzo,22147.0,450,450,890,1978
maíz,1987,1987/1988,Santa Fe,82.0,Villa Constitución,82028.0,26000,26000,112500,4327
maíz,1987,1987/1988,Santa Fe,82.0,Caseros,82014.0,51500,51500,226600,4400
maíz,1988,1988/1989,Santa Fe,82.0,Villa Constitución,82028.0,22500,14000,34000,2429
maíz,1988,1988/1989,Santa Fe,82.0,Caseros,82014.0,42000,27000,60000,2222
maíz,1988,1988/1989,Santa Fe,82.0,Rosario,82084.0,3500,3000,6000,2000
maíz,1988,1988/1989,Santa Fe,82.0,San Lorenzo,82119.0,8500,6500,13000,2000
maíz,1988,1988/1989,Chaco,22.0,San Lorenzo,22147.0,400,400,500,1250
maíz,1989,1989/1990,Chaco,22.0,San Lorenzo,22147.0,300,300,450,1500
maíz,1989,1989/1990,Santa Fe,82.0,Villa Constitución,82028.0,14000,14000,39200,2800
maíz,1989,1989/1990,Santa Fe,82.0,Caseros,82014.0,25000,25000,67500,2700
maíz,1989,1989/1990,Santa Fe,82.0,Rosario,82084.0,2500,2500,6700,2680
maíz,1989,1989/1990,Santa Fe,82.0,San Lorenzo,82119.0,5500,5500,14300,2600
maíz,1990,1990/1991,Santa Fe,82.0,Caseros,82014.0,25000,25000,107500,4300
maíz,1990,1990/1991,Santa Fe,82.0,Rosario,82084.0,1500,1500,6800,4533
maíz,1990,1990/1991,Santa Fe,82.0,Villa Constitución,82028.0,16000,16000,67200,4200
maíz,1990,1990/1991,Santa Fe,82.0,San Lorenzo,82119.0,5000,5000,23000,4600
maíz,1991,1991/1992,Santa Fe,82.0,Villa Constitución,82028.0,20000,19300,108100,5601
maíz,1991,1991/1992,Santa Fe,82.0,Caseros,82014.0,38000,31000,176700,5700
maíz,1991,1991/1992,Santa Fe,82.0,Rosario,82084.0,3000,3000,18000,6000
maíz,1991,1991/1992,Santa Fe,82.0,San Lorenzo,82119.0,11000,10700,62100,5804
maíz,1992,1992/1993,Santa Fe,82.0,Caseros,82014.0,44000,44000,228800,5200
maíz,1992,1992/1993,Santa Fe,82.0,Villa Constitución,82028.0,24000,24000,122400,5100
maíz,1992,1992/1993,Santa Fe,82.0,Rosario,82084.0,4000,4000,22400,5600
maíz,1992,1992/1993,Santa Fe,82.0,San Lorenzo,82119.0,14000,14000,81200,5800
